"DATE","TIME PERIOD","HICP - FOOD AND NON-ALCOHOLIC BEVERAGES (ICP.M.U2.N.010000.4.ANR)","HICP - Electricity, gas and other fuels (ICP.M.U2.N.045000.4.ANR)"
"2023-06-30","2023Jun","12.6","-0.2"
"2023-07-31","2023Jul","11.6","-4.3"
"2023-08-31","2023Aug","10.3","-7.5"
"2023-09-30","2023Sep","9.1","-10.9"
"2023-10-31","2023Oct","7.5","-18.2"
"2023-11-30","2023Nov","6.9","-17.4"
"2023-12-31","2023Dec","6.1","-11.9"
"2024-01-31","2024Jan","5.4","-8.0"
"2024-02-29","2024Feb","3.3","-6.1"
"2024-03-31","2024Mar","2.0","-3.8"
"2024-04-30","2024Apr","2.2","-2.9"
"2024-05-31","2024May","2.0","-2.5"
"2024-06-30","2024Jun","1.8","-0.5"
"2024-07-31","2024Jul","1.6","1.6"
"2024-08-31","2024Aug","1.7","0.1"
"2024-09-30","2024Sep","1.7","-0.5"
"2024-10-31","2024Oct","2.2","0.2"
"2024-11-30","2024Nov","2.0","1.9"
"2024-12-31","2024Dec","1.9","2.5"
"2025-01-31","2025Jan","1.6","3.2"
"2025-02-28","2025Feb","2.2","1.9"
"2025-03-31","2025Mar","2.6","2.5"
"2025-04-30","2025Apr","2.7","0.9"
"2025-05-31","2025May","2.9","0.4"
"2025-06-30","2025Jun","2.9","-0.2"
"2025-07-31","2025Jul","3.2","-0.3"
"2025-08-31","2025Aug","3.2","-0.8"
"2025-09-30","2025Sep","3.0","-0.8"
"2025-10-31","2025Oct","2.4","-1.2"
"2025-11-30","2025Nov","2.3","-1.4"
"2025-12-31","2025Dec","2.5","-2.1"
